provider_id,provider_name,system_family,Accountability,Inclusivity & diversity,Participatory governance,Transparency,AIPI,coverage,rank
ai_sweden,AI Sweden,GPT‑SW3,,,0.5,0.9,0.7,0.15,60
clarinpl,CLARIN-PL,Polish RoBERTa,,,0.5,0.9,0.7,0.15,61
thudm,THUDM (Tsinghua),ChatGLM-6B,,,0.5,0.9,0.7,0.15,62
vinai,VinAI,PhoBERT,,,0.5,0.9,0.7,0.15,63
dccuchile,DCC UChile,BETO (Spanish BERT),,,0.5,0.9,0.7,0.15,64
teknium,Teknium,OpenHermes,,,0.5,0.9,0.7,0.075,65
deeppavlov,DeepPavlov,ruGPT / rubert,,,0.5,0.9,0.7,0.075,66
yandex,Yandex,YaLM,,,0.5,0.9,0.7,0.15,67
abacus,Abacus.AI,Smaug,,,0.5,0.9,0.7,0.075,68
elyza,ELYZA,ELYZA Japanese LLMs,,,0.5,0.9,0.7,0.15,69
nvidia_parakeet,NVIDIA,Parakeet,,,0.5,0.9,0.7,0.15,70
baai,Beijing Academy of AI (BAAI),Aquila / WuDao,,,0.5,0.9,0.7,0.15,71
ai4d,AI4D Africa,African NLP models,,,0.5,0.7,0.6,0.15,72
360,Qihoo 360,360GLM,,,0.5,0.7,0.6,0.15,73
apple,Apple,OpenELM / MLX community models,,,0.5,0.7,0.6,0.15,74
baichuan,Baichuan AI,Baichuan 2,,,0.5,0.7,0.6,0.15,75
rinna,rinna,Japanese LLMs,,,0.5,0.7,0.6,0.15,76
coqui,Coqui AI,XTTS / TTS family,,,0.5,0.7,0.6,0.15,77
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,,,0.5,0.7,0.6,0.15,78
suno,Suno,Suno v3 (and Bark open),,,0.5,0.7,0.6,0.15,79
ai2,Allen Institute for AI (AI2),OLMo,,,0.0,1.0,0.5,0.125,80
salesforce,Salesforce,xGen / CodeGen,,,0.0,0.9,0.45,0.15,81
mosaicml,MosaicML (Databricks),MPT,,,0.0,0.9,0.45,0.15,82
nomic,Nomic AI,Nomic Embeddings,,,0.0,0.9,0.45,0.15,83
ukp,UKP Lab (TU Darmstadt),SentenceTransformers,,,0.0,0.875,0.4375,0.125,84
snowflake,Snowflake,Arctic,,,0.0,0.875,0.4375,0.125,85
zhipuai,Zhipu AI,GLM / ChatGLM / GLM-4,,,0.0,0.875,0.4375,0.125,86
microsoft_cosmos,Microsoft,Kosmos-2,,,0.0,0.875,0.4375,0.125,87
microsoft,Microsoft,Phi 3/4 family,,,0.0,0.875,0.4375,0.125,88
meta_sam,Meta,Segment Anything (SAM),,,0.0,0.875,0.4375,0.125,89
inria,INRIA/CNRS/Sorbonne,CamemBERT,,,0.0,0.875,0.4375,0.125,90
ai4bharat,AI4Bharat (IIT Madras),IndicTrans / IndicLLMs,,,0.0,0.875,0.4375,0.125,91
tii,Technology Innovation Institute (TII),Falcon,,,0.0,0.75,0.375,0.125,92
databricks,Databricks,DBRX,,,0.0,0.7,0.35,0.15,93
lmsys,LMSYS (UC Berkeley),Vicuna,,,0.0,0.7,0.35,0.15,94
princeton_nlp,Princeton/NVIDIA/UMD,Dolly (Databricks)??,,,0.0,0.7,0.35,0.15,95
kyutai,Kyutai,Moshi,,,0.0,0.625,0.3125,0.0625,96
google_gemma,Google,Gemma 2,,,0.0,0.625,0.3125,0.125,97
stanford,Stanford CRFM,Alpaca,,,0.0,0.625,0.3125,0.125,98
tencent,Tencent AI Lab,Hunyuan,,,0.0,0.625,0.3125,0.125,99
nvidia,NVIDIA,Nemotron,,,0.0,0.625,0.3125,0.125,100
meta_seamless,Meta,SeamlessM4T,,,0.0,0.625,0.3125,0.125,101
lgai,LG AI Research,EXAONE,,,0.0,0.625,0.3125,0.125,102
amazon,Amazon,Amazon Titan,,,0.0,0.375,0.1875,0.125,103
baidu,Baidu,ERNIE Bot (Wenxin Yiyan),,,0.0,0.375,0.1875,0.125,104
google_imagen,Google,Imagen,,,0.0,0.375,0.1875,0.125,105
stability_audio,Stability AI,Stable Audio,,,0.0,0.25,0.125,0.125,106
perplexity,Perplexity,pplx-70b / pplx-7b (hosted),,,0.0,0.16666666666666666,0.08333333333333333,0.1,107
nvidia_riva,NVIDIA,Riva TTS/ASR,,,0.0,0.16666666666666666,0.08333333333333333,0.1,108
ai21,AI21 Labs,Jurassic (J2/J3),,,0.0,0.0,0.0,0.1,109
cloudflare_ai,Cloudflare,Workers AI (hosted foundation models),,,0.0,0.0,0.0,0.1,110
adept,Adept AI,ACT-1,,,0.0,0.0,0.0,0.1,111
adobe,Adobe,Firefly,,,0.0,0.0,0.0,0.1,112
characterai,Character.AI,Character models (C1 family),,,0.0,0.0,0.0,0.1,113
together,Together AI,Struqta/RedPajama family hosting,,,0.0,0.0,0.0,0.1,114
bytedance,ByteDance,Doubao,,,0.0,0.0,0.0,0.1,115
bloomberg,Bloomberg,BloombergGPT,,,0.0,0.0,0.0,0.1,116
voyage,Voyage AI,Voyage Embeddings,,,0.0,0.0,0.0,0.1,117
alephalpha,Aleph Alpha,Luminous,,,0.0,0.0,0.0,0.1,118
huawei,Huawei,PanGu,,,0.0,0.0,0.0,0.1,119
deepL,DeepL,DeepL LLM / Write,,,0.0,0.0,0.0,0.1,120
elevenlabs,ElevenLabs,Eleven Multilingual v2,,,0.0,0.0,0.0,0.1,121
synthesia,Synthesia,Synthesia Avatars,,,0.0,0.0,0.0,0.1,122
iflytek,iFLYTEK,Spark (Xinghuo),,,0.0,0.0,0.0,0.1,123
inflection,Inflection AI,Inflection-1,,,0.0,0.0,0.0,0.1,124
sensetime,SenseTime,SenseNova,,,0.0,0.0,0.0,0.1,125
sdaia,Saudi Data & AI Authority (SDAIA),ALLaM,,,0.0,0.0,0.0,0.1,126
sber,Sber AI,GigaChat,,,0.0,0.0,0.0,0.1,127
sap,SAP,Joule (SAP AI),,,0.0,0.0,0.0,0.05,128
krutrim,Krutrim (Ola),Krutrim LLM,,,0.0,0.0,0.0,0.1,129
runway,Runway,Gen-3 Alpha,,,0.0,0.0,0.0,0.1,130
reka,Reka AI,Reka Core / Flash / Edge,,,0.0,0.0,0.0,0.1,131
pika,Pika Labs,Pika 1.0,,,0.0,0.0,0.0,0.1,132
midjourney,Midjourney,Midjourney,,,0.0,0.0,0.0,0.1,133
naver,Naver,HyperCLOVA X,,,0.0,0.0,0.0,0.1,134
luma,Luma AI,Dream Machine,,,0.0,0.0,0.0,0.1,135
