provider_id,provider_name,system_family,indicator_id,score
databricks,Databricks,DBRX,TRA1,1.0
databricks,Databricks,DBRX,TRA2,1.0
databricks,Databricks,DBRX,TRA3,0.0
databricks,Databricks,DBRX,TRA5,1.0
databricks,Databricks,DBRX,TRA10,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),TRA2,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),TRA3,1.0
stability,Stability AI,Stable Diffusion (SDXL/3),TRA5,1.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),TRA2,1.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),TRA3,0.0
alibaba,Alibaba Cloud,Qwen (Qwen2.5/Qwen3),TRA5,
cohere,Cohere,Command / Embed / Rerank,TRA2,1.0
cohere,Cohere,Command / Embed / Rerank,TRA3,0.0
cohere,Cohere,Command / Embed / Rerank,TRA5,
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,GOV3,1.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA1,1.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA2,1.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA3,0.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA5,1.0
deepseek,DeepSeek,DeepSeek-V3 / DeepSeek-R1,TRA10,1.0
microsoft,Microsoft,Phi 3/4 family,GOV3,0.0
microsoft,Microsoft,Phi 3/4 family,TRA1,1.0
microsoft,Microsoft,Phi 3/4 family,TRA2,1.0
microsoft,Microsoft,Phi 3/4 family,TRA3,1.0
microsoft,Microsoft,Phi 3/4 family,TRA5,
microsoft,Microsoft,Phi 3/4 family,TRA10,1.0
ai2,Allen Institute for AI (AI2),OLMo,GOV3,0.0
ai2,Allen Institute for AI (AI2),OLMo,TRA1,1.0
ai2,Allen Institute for AI (AI2),OLMo,TRA2,1.0
ai2,Allen Institute for AI (AI2),OLMo,TRA3,1.0
ai2,Allen Institute for AI (AI2),OLMo,TRA5,
ai2,Allen Institute for AI (AI2),OLMo,TRA10,1.0
eleutherai,EleutherAI,GPT‑NeoX / GPT-J,GOV3,1.0
eleutherai,EleutherAI,GPT‑NeoX / GPT-J,TRA1,1.0
eleutherai,EleutherAI,GPT‑NeoX / GPT-J,TRA2,1.0
eleutherai,EleutherAI,GPT‑NeoX / GPT-J,TRA3,1.0
eleutherai,EleutherAI,GPT‑NeoX / GPT-J,TRA5,1.0
eleutherai,EleutherAI,GPT‑NeoX / GPT-J,TRA10,1.0
01-ai,01.AI,Yi family,GOV3,1.0
01-ai,01.AI,Yi family,TRA1,1.0
01-ai,01.AI,Yi family,TRA2,1.0
01-ai,01.AI,Yi family,TRA3,1.0
01-ai,01.AI,Yi family,TRA5,1.0
01-ai,01.AI,Yi family,TRA10,1.0
apple,Apple,OpenELM / MLX community models,GOV3,1.0
apple,Apple,OpenELM / MLX community models,TRA1,1.0
apple,Apple,OpenELM / MLX community models,TRA2,1.0
apple,Apple,OpenELM / MLX community models,TRA3,0.0
apple,Apple,OpenELM / MLX community models,TRA5,1.0
apple,Apple,OpenELM / MLX community models,TRA10,1.0
baidu,Baidu,ERNIE Bot (Wenxin Yiyan),GOV3,0.0
baidu,Baidu,ERNIE Bot (Wenxin Yiyan),TRA1,1.0
baidu,Baidu,ERNIE Bot (Wenxin Yiyan),TRA2,1.0
baidu,Baidu,ERNIE Bot (Wenxin Yiyan),TRA3,0.0
baidu,Baidu,ERNIE Bot (Wenxin Yiyan),TRA5,
baidu,Baidu,ERNIE Bot (Wenxin Yiyan),TRA10,0.0
perplexity,Perplexity,pplx-70b / pplx-7b (hosted),GOV3,0.0
perplexity,Perplexity,pplx-70b / pplx-7b (hosted),TRA1,
perplexity,Perplexity,pplx-70b / pplx-7b (hosted),TRA2,1.0
perplexity,Perplexity,pplx-70b / pplx-7b (hosted),TRA3,0.0
perplexity,Perplexity,pplx-70b / pplx-7b (hosted),TRA5,
perplexity,Perplexity,pplx-70b / pplx-7b (hosted),TRA10,0.0
adobe,Adobe,Firefly,GOV3,0.0
adobe,Adobe,Firefly,TRA1,
adobe,Adobe,Firefly,TRA2,0.0
adobe,Adobe,Firefly,TRA3,0.0
adobe,Adobe,Firefly,TRA5,
adobe,Adobe,Firefly,TRA10,0.0
tii,Technology Innovation Institute (TII),Falcon,GOV3,0.0
tii,Technology Innovation Institute (TII),Falcon,TRA1,1.0
tii,Technology Innovation Institute (TII),Falcon,TRA2,1.0
tii,Technology Innovation Institute (TII),Falcon,TRA3,0.0
tii,Technology Innovation Institute (TII),Falcon,TRA5,
tii,Technology Innovation Institute (TII),Falcon,TRA10,1.0
zhipuai,Zhipu AI,GLM / ChatGLM / GLM-4,GOV3,0.0
zhipuai,Zhipu AI,GLM / ChatGLM / GLM-4,TRA1,1.0
zhipuai,Zhipu AI,GLM / ChatGLM / GLM-4,TRA2,1.0
zhipuai,Zhipu AI,GLM / ChatGLM / GLM-4,TRA3,1.0
